gsis_id,display_name,position,birth_date,pfr_id,espn_id
00-0028830,Isaako Aaitui,NT,1987-01-25,AaitIs00,14856
00-0038389,Israel Abanikanda,RB,2002-10-05,AbanIs00,4429202
00-0024644,Jon Abbate,LB,1985-06-18,,
ABB498348,Vince Abbott,K,1958-05-31,abbotvin01,
00-0031021,Jared Abbrederis,WR,1990-12-17,AbbrJa00,16836
00-0032860,Mehdi Abdesmad,DE,1991-09-28,AbdeMe00,2576467
00-0028564,Isa Abdul-Quddus,S,1989-08-03,AbduIs00,14466
00-0032104,Ameer Abdullah,RB,1993-06-13,AbduAm00,2576336
00-0023663,Hamza Abdullah,DB,1983-08-20,AbduHa20,8645
00-0025940,Husain Abdullah,FS,1985-07-27,AbduHu99,11910
00-0021957,Khalid Abdullah,LB,1979-03-06,AbduKh20,4594
00-0000007,Rabih Abdullah,RB,1975-04-27,AbduRa00,1703
00-0000008,Rahim Abdullah,OLB,1976-03-22,AbduRa20,3998258
00-0038580,Yasir Abdullah,LB,2000-04-12,AbduYa00,4360807
ABE498348,Walter Abercrombie,RB,1959-09-26,AberWa00,
00-0035098,Micah Abernathy,DB,1997-02-10,AberMi00,3915373
00-0023322,Rob Abiamiri,TE,1982-12-21,,
00-0025444,Victor Abiamiri,DE,1986-01-14,AbiaVi99,10501
00-0022830,Derek Abney,WR,1980-12-19,,
00-0041445,Keith Abney II,CB,2005-01-11,AbneKe00,5093004
00-0030083,Oday Aboushi,G,1991-06-05,AbouOd00,15972
00-0000016,Clifton Abraham,DB,1971-12-09,AbraCl20,7903
00-0019546,John Abraham,OLB,1978-05-06,AbraJo00,2144
00-0039403,Micah Abraham,DB,2000-12-11,AbraMi00,4427563
00-0000017,Donnie Abraham,CB,1973-10-08,AbraDo00,1027
ABR083058,Robert Abraham,LB,1960-07-13,AbraRo20,
00-0035693,Johnathan Abram,DB,1996-10-25,AbraJo01,3728305
ABR166116,Danny Abramowicz,WR,1945-07-13,AbraDa00,
ABR249174,Sid Abramowitz,OT,1960-05-21,AbraSi20,
00-0035774,Delrick Abrams,DB,1997-04-04,AbraDe00,4360643
ABR390978,Josh Abrams,RB,1986-01-18,,
00-0000025,Kevin Abrams,CB,1974-02-28,AbraKe20,1201
ABR426540,Bobby Abrams,LB,1967-04-12,AbraBo20,7177
00-0039371,Kris Abrams-Draine,CB,2001-10-04,AbraKr00,4429193
00-0039040,De'Von Achane,RB,2001-10-13,AchaDe00,4429160
ACH207645,Steve Ache,LB,1962-03-16,AcheSt20,
ACH415290,George Achica,DT,1960-12-19,AchiGe20,
00-0029428,Emmanuel Acho,LB,1990-11-10,AchoEm00,15045
00-0028041,Sam Acho,LB,1988-09-06,AchoSa00,14152
00-0022520,D.D. Acholonu,LB,1980-10-17,,3998259
00-0031186,Kenneth Acker,CB,1992-02-06,AckeKe00,16914
ACK207645,Bill Acker,NT,1956-11-07,AckeBi20,
ACK415290,Rick Ackerman,DT,1959-06-16,AckeRi20,
00-0000032,Tom Ackerman,C,1972-09-06,AckeTo20,1028
ACK622935,Ron Acks,MLB,1944-10-03,AcksRo20,
ACO415291,Fred Acorn,CB,1961-03-17,AcorFr20,
00-0035801,DeMarkus Acy,CB,1998-04-29,AcyxDe00,4035103
ADA083058,Mike Adamle,RB,1949-10-04,AdamMi01,
00-0029831,Aaron Adams,OT,1989-05-16,AdamAa00,16296
